source,line,alarm_key,message,classification,alarm_occurrences,alarm_occurrences_linked_to_stop,alarm_occurrence_stop_association_pct,attributed_zone_stops,attributed_zone_stop_minutes,average_zone_stop_minutes,same_zone_pct,average_alarm_to_stop_seconds,average_confidence_score
3GT,TAM20,P3_861PHS_MISS,Z8  : 861PHS Array missing (Check jam or sensor),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,268,23,8.582,55,885,16.09,0,126.73,2.47
3GT,TAM07,P6_4097PS_ERROR,Z4B : 4097PS error (for guard lock),DOOR_OR_GUARD|GUARD_SYSTEM_FAULT|LONG_DURATION,20,1,5,3,870,290,33.33,14.79,1.33
FLEX,TAM28,[00G3_K002]Program:EM02G4_Operator_Interface.ALMD_S001PBL_Actuated,EM02G4 S001PBL ZONE STOP #1,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE|LONG_DURATION,120,6,5,10,867,86.7,0,46.52,2.9
3GT,TAM18,P0_LOT_MISMATCH,Z2A : Mold information mismatch (middle of lot),ROOT_CAUSE_CANDIDATE|LONG_DURATION,358,32,8.939,52,850,16.35,38.46,70.78,2.23
3GT,TAM02,P1_CMD_TR,Z3  : CMD Top Right (303CL),ROOT_CAUSE_CANDIDATE,72,10,13.889,26,850,32.69,61.54,122.49,2.27
3GT,TAM18,P2_523CL_ERR_1,Z5B : 523CL Fail to extend  (Saline inlet),ROOT_CAUSE_CANDIDATE,101,8,7.921,14,847,60.5,35.71,70.81,2.21
FLEX,TAM25,[00G3_K002]Program:EM0232_Monomer_DosePump.ALMD_M003MTR_Fault,EM0232 M003MTR Motor faulted,ROOT_CAUSE_CANDIDATE,102,3,2.941,9,847,94.11,0,126.07,1.33
3GT,TAM22,L22_P3_PSS01_0511HTSOD.Alarm,DI Tank2 Heater High temperature(0511HTSOD_1 & 0511HTSOD_2),LONG_DURATION,58,4,6.897,10,832,83.2,0,90.53,1
3GT,TAM23,L23_P4_Z10_Warning.Sleeve_Hopper_low,Z10 : Sleeve hopper is low,WARNING|ROOT_CAUSE_CANDIDATE|LONG_DURATION,402,26,6.468,36,831,23.08,0,58.72,1.69
FLEX,TAM25,[00G3_K042]Program:UN03_Standard.ALMD_03G6_B001GLS,Z03 Guard Door Open =03G6_B001GLS,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,462,22,4.762,46,829,18.02,82.61,79.11,2.83
3GT,TAM21,L21_P3_Z05A_Warning.RBT_Parts_Reject,Z05A : Robot Parts Reject,WARNING|CASCADE_SYMPTOM_CANDIDATE,7230,35,0.484,37,823,22.24,89.19,54.55,1.78
FLEX,TAM24,[00G3_K502]Program:EM10G4_Operator_Interface.ALMD_S501PBL_Actuated,EM10G4 S501PBL ZONE STOP PB1,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,504,23,4.563,36,820,22.78,0,48.46,2.81
3GT,TAM23,L23_P4_Z08_Warning.Uncount_0807PHS_05,Z08 : 807PHS_05 unknown array detected,WARNING|ROOT_CAUSE_CANDIDATE,126,20,15.873,36,819,22.75,0,39.7,1.92
FLEX,TAM31,[00G3_K502]Program:EM10G4_Operator_Interface.ALMD_S501PBL_Actuated,EM10G4 S501PBL ZONE STOP PB1,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,509,20,3.929,43,818,19.02,0,84.5,2.63
FLEX,TAM28,[00G3_K022]Program:EM0542_Foil_Transfer.ALMD_K001CTL_Guard_Open,EM0542 Foil Transfer Robot Error: Safety Guard Open,DOOR_OR_GUARD|OPERATOR_INITIATED_FLEX|STOP_ALARM_CANDIDATE|CASCADE_SYMPTOM_CANDIDATE,1988,3,0.151,5,816,163.2,0,44.55,2
3GT,TAM09,P6_Z04B_ALM_makeup_vlv_noclose,Z04B : Makeup valve not closed,ROOT_CAUSE_CANDIDATE,944,27,2.86,42,815,19.4,28.57,80.85,1.98
3GT,TAM02,P2_520CL_ERR_1,Z5B : 520CL Fail to EXTEND,ROOT_CAUSE_CANDIDATE,192,28,14.583,50,813,16.26,12,73.2,2.02
3GT,TAM09,P3_CTN_JAM_HOPR,Z8  : 861PRS Carton jam underneath the hopper,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,528,28,5.303,50,811,16.22,0,96.6,2.6
3GT,TAM23,L23_P4_EndOfLot.HMI02,"End of lot procedure: Ready for rework. ~When rework is completed, Press Done.",ROOT_CAUSE_CANDIDATE,186,22,11.828,36,811,22.53,0,52.2,1.81
3GT,TAM18,P3_813PHS_MISS,Z8  : 813PHS Tray jam or sensor fail (Missing),STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,168,17,10.119,23,808,35.13,0,130.36,2.43
3GT,TAM20,P7_Foil_Break_Alarm,Z5B4 : Check for Foil Break or Jam,STOP_ALARM_CANDIDATE|ROOT_CAUSE_CANDIDATE,68,36,52.941,82,807,9.84,7.32,109.07,2.49
